ID,Year,truncated,pval,significant
143,2006,0,1e-4,1
143,2006,0,0.029,1
143,2006,0,1e-4,1
143,2006,0,1e-4,1
143,2006,0,1e-4,1
143,2006,0,0.008,1
143,2006,0,0.026,1
143,2006,0,1e-4,1
161,2006,0,0.007,1
161,2006,0,0.013,1
161,2006,0,0.011,1
161,2006,0,0.007,1
161,2006,0,0.059,0
163,2006,0,0.5,0
172,2006,0,0.004,1
174,2006,0,0.01,1
174,2006,0,0.63,0
174,2006,0,0.81,0
174,2006,0,0.67,0
174,2006,0,0.23,0
177,2006,0,0.01,1
182,2006,0,0.188,0
182,2006,0,0.988,0
182,2006,0,0.714,0
190,2006,0,0.07,0
190,2006,0,0.02,1
190,2006,0,0.08,0
192,2006,0,0.001,1
192,2006,0,0.9,0
192,2006,0,0.08,0
192,2006,0,0.05,0
192,2006,0,0.1,0
196,2006,0,0.5,0
199,2006,0,0.37,0
199,2006,0,0.66,0
200,2006,0,0.002,1
200,2006,0,0.08,0
200,2006,0,0.75,0
201,2006,0,0.014,1
201,2006,0,0.041,1
201,2006,0,0.019,1
201,2006,0,0.011,1
206,2006,0,0.014,1
206,2006,0,0.05,0
206,2006,0,0.03,1
206,2006,0,0.02,1
206,2006,0,0.05,0
210,2006,0,1e-4,1
210,2006,0,0.029,1
210,2006,0,1e-4,1
210,2006,0,1e-4,1
210,2006,0,1e-4,1
210,2006,0,0.03,1
210,2006,0,0.008,1
210,2006,0,0.026,1
210,2006,0,1e-4,1
213,2006,0,0.16,0
213,2006,0,0.041,1
214,2006,0,0.01,1
214,2006,0,0.003,1
214,2006,0,0.001,1
214,2006,0,0.06,0
2,2006,1,0.05,0
2,2006,1,0.001,1
2,2006,1,0.001,1
2,2006,1,0.05,0
4,2006,1,0.05,0
4,2006,1,0.05,0
4,2006,1,0.05,0
5,2006,1,0.05,0
8,2006,1,0.05,0
8,2006,1,0.05,0
8,2006,1,0.05,0
8,2006,1,0.05,0
8,2006,1,0.05,0
8,2006,1,0.05,0
8,2006,1,0.05,0
8,2006,1,0.05,0
10,2006,1,0.05,0
10,2006,1,0.005,1
10,2006,1,5e-4,1
10,2006,1,0.05,0
16,2006,1,0.05,0
16,2006,1,0.05,0
16,2006,1,0.01,1
16,2006,1,0.01,1
16,2006,1,0.01,1
16,2006,1,0.01,1
16,2006,1,0.01,1
16,2006,1,0.01,1
16,2006,1,0.01,1
21,2006,1,0.05,0
22,2006,1,0.05,0
22,2006,1,0.05,0
22,2006,1,0.05,0
